Player,Year,School,G,YPG,TDPG,Team Yards,Team TDs,DR,MSY,MSTD,Type
Rashaad Penny,2017,San Diego State,11,183.31,1.92,400.6,3.5,50.31,45.76,54.86,Rushing
Benny Snell Jr,2017,Kentucky,8,108.08,1.46,349.8,2.9,40.62,30.9,50.34,Rushing
Bryce Love,2017,Stanford,13,165.46,1.46,388.9,3.8,40.5,42.55,38.46,Rushing
Mike Epstein,2017,Illinois,5,81,0.8,280.4,1.6,39.44,28.89,50,Rushing
Phillip Lindsay,2017,Colorado,13,144.25,1.25,418.9,3,38.05,34.44,41.67,Rushing
Devin Singletary,2017,Florida Atlantic,13,151.14,2.36,498.2,5.2,37.86,30.34,45.38,Rushing
Ray Lawry,2017,Old Dominion,12,99.63,1,332.3,2.2,37.72,29.98,45.45,Rushing
Myles Gaskin,2017,Washington,13,124,1.85,405.5,4.3,36.8,30.58,43.02,Rushing
Lexington Thomas,2017,UNLV,12,123.25,1.42,427.1,3.2,36.62,28.86,44.38,Rushing
John Kelly,2017,Tennessee,13,97.91,0.82,291.6,2.1,36.31,33.58,39.05,Rushing
Kerryon Johnson,2017,Auburn,12,132.08,1.67,451.6,3.9,36.03,29.25,42.82,Rushing
TaQuon Marshall,2017,Georgia Tech,11,104.18,1.55,391.6,3.6,34.83,26.6,43.06,Rushing
Zach Abey,2017,Navy,12,118.17,1.67,428.7,4,34.66,27.56,41.75,Rushing
Ito Smith,2017,Southern Mississippi,12,139.31,1.15,424.6,3.3,33.83,32.81,34.85,Rushing
AJ Dillon,2017,Boston College,13,122.23,1.08,386.7,3,33.8,31.61,36,Rushing
Ryan Nall,2017,Oregon State,12,95.45,0.91,333.8,2.4,33.26,28.59,37.92,Rushing
Ronald Jones,2017,USC,13,133.62,1.54,485.2,4,33.02,27.54,38.5,Rushing
Akrum Wadley,2017,Iowa,13,112.46,1,329.1,3.4,31.79,34.17,29.41,Rushing
Saquon Barkley,2017,Penn State,13,146.38,1.62,460.3,5.3,31.18,31.8,30.57,Rushing
Derrius Guice,2017,LSU,13,114.58,1.08,411.1,3.2,30.81,27.87,33.75,Rushing
Patrick Laird,2017,California,13,131.73,0.82,384.5,3,30.8,34.26,27.33,Rushing
Ahmad Bradshaw,2017,Army,11,134.31,1.08,390.1,4,30.71,34.43,27,Rushing
Jeffery Wilson,2017,North Texas,12,125.73,1.45,456.1,4.3,30.64,27.57,33.72,Rushing
Royce Freeman,2017,Oregon,14,136.58,1.33,440.9,4.5,30.27,30.98,29.56,Rushing
Jonathan Taylor,2017,Wisconsin,12,148,0.93,415.3,3.8,30.06,35.64,24.47,Rushing
Hasaan Klugh,2017,Charlotte,13,48.36,0.82,303.2,1.9,29.55,15.95,43.16,Rushing
Dontrell Hilliard,2017,Tulane,7,100.5,1.17,391.5,3.6,29.09,25.67,32.5,Rushing
D'Angelo Brewer,2017,Tulsa,13,145.91,0.82,420.3,3.5,29.07,34.72,23.43,Rushing
Diocemy Saint Juste,2017,Hawaii,11,138.92,0.67,402.7,2.9,28.8,34.5,23.1,Rushing
Jonathan Ward,2017,Central Michigan,12,114.92,1,390.7,3.6,28.6,29.41,27.78,Rushing
Shannon Brooks,2017,Minnesota,12,71.33,0.83,308.5,2.5,28.16,23.12,33.2,Rushing
Karan Higdon,2017,Michigan,12,86.54,0.85,348.9,2.7,28.14,24.8,31.48,Rushing
Malcolm Perry,2017,Navy,11,123.75,1.08,428.7,4,27.93,28.87,27,Rushing
Darnell Woolfolk,2017,Army,10,81.2,1.4,390.1,4,27.91,20.82,35,Rushing
Tavares Thomas,2017,Middle Tennessee State,14,70.13,1.13,394.5,3,27.72,17.78,37.67,Rushing
Larry Rose III,2017,New Mexico State,11,121.33,1,450.2,3.6,27.36,26.95,27.78,Rushing
David Montgomery,2017,Iowa State,11,110.92,0.85,386,3.3,27.25,28.74,25.76,Rushing
Justin Jackson,2017,Northwestern,12,122.08,0.85,408,3.6,26.77,29.92,23.61,Rushing
Jarvion Franklin,2017,Western Michigan,9,105.25,1,389.6,3.8,26.67,27.01,26.32,Rushing
Xavier Johnson,2017,South Alabama,10,58.5,0.75,334.3,2.1,26.61,17.5,35.71,Rushing
Lamical Perine,2017,Florida,13,58.45,0.82,335.9,2.3,26.53,17.4,35.65,Rushing
Arion Worthman,2017,Air Force,11,84.5,1.3,416.3,4,26.4,20.3,32.5,Rushing
Spencer Brown,2017,UAB,13,105.46,0.77,363.8,3.3,26.16,28.99,23.33,Rushing
Alex Delton,2017,Kansas State,13,69.86,1.14,372.5,3.4,26.14,18.75,33.53,Rushing
Justin Rankin,2017,Kent State,14,66.75,0.42,275.2,1.5,26.13,24.26,28,Rushing
Jalin Moore,2017,Appalachian State,11,109.09,1.18,439.8,4.3,26.12,24.8,27.44,Rushing
Gus Edwards,2017,Rutgers,13,68,0.58,264.2,2.2,26.05,25.74,26.36,Rushing
Nick Fitzgerald,2017,Mississippi State,12,82,1.17,418.6,3.6,26.04,19.59,32.5,Rushing
Lamar Jackson,2017,Louisville,12,123.15,1.38,544.9,4.7,25.98,22.6,29.36,Rushing
Nathan Rourke,2017,Ohio,12,72.54,1.69,432.6,4.9,25.63,16.77,34.49,Rushing
Zack Moss,2017,Utah,12,108.92,0.77,413.4,3.1,25.59,26.35,24.84,Rushing
Ralph Webb,2017,Vanderbilt,11,84.92,0.92,351.2,3.5,25.23,24.18,26.29,Rushing
Shamari Brooks,2017,Tulsa,10,76.78,1.11,420.3,3.5,24.99,18.27,31.71,Rushing
Terry Swanson,2017,Toledo,12,119.77,1.08,485.1,4.3,24.9,24.69,25.12,Rushing
Jordan Chunn,2017,Troy,13,97.8,1,418.5,3.8,24.84,23.37,26.32,Rushing
Lajuan Hunt,2017,Utah State,11,78.08,0.92,397.4,3.1,24.66,19.65,29.68,Rushing
Alexander Mattison,2017,Boise State,10,97.86,0.93,406.4,3.7,24.61,24.08,25.14,Rushing
Sony Michel,2017,Georgia,13,94.5,1.21,435.3,4.4,24.6,21.71,27.5,Rushing
Squally Canada,2017,Brigham Young,11,65.36,0.55,325.3,1.9,24.52,20.09,28.95,Rushing
Kobe McCrary,2017,Minnesota,9,52.3,0.8,308.5,2.5,24.48,16.95,32,Rushing
Kenny Young,2017,Miami (OH),12,94.55,0.73,384.9,3,24.45,24.56,24.33,Rushing
LJ Scott,2017,Michigan State,12,87,0.75,383.6,2.9,24.27,22.68,25.86,Rushing
Marquis Young,2017,Massachusetts,12,105.17,0.92,433,3.8,24.25,24.29,24.21,Rushing
Shaun Wilson,2017,Duke,12,83.15,0.77,384.8,2.9,24.08,21.61,26.55,Rushing
Demario Richard,2017,Arizona State,10,91.17,1,431.5,3.7,24.08,21.13,27.03,Rushing
Eric Dungey,2017,Syracuse,12,67.33,1,456.3,3,24.04,14.76,33.33,Rushing
Darrin Hall,2017,Pitt,11,65.42,0.83,366.2,2.8,23.75,17.86,29.64,Rushing
Khalil Tate,2017,Arizona,12,128.27,1.09,489.9,5.2,23.57,26.18,20.96,Rushing
Jeremy Cox,2017,Old Dominion,13,88.56,0.44,332.3,2.2,23.33,26.65,20,Rushing
Boston Scott,2017,Louisiana Tech,6,94.46,0.69,403,3,23.22,23.44,23,Rushing
Cam Akers,2017,Florida State,11,87.77,0.62,351.9,2.9,23.16,24.94,21.38,Rushing
Jacques Patrick,2017,Florida State,11,83.55,0.64,351.9,2.9,22.84,23.74,21.94,Rushing
Justice Hill,2017,Oklahoma State,12,127.46,1.23,571.3,5.4,22.54,22.31,22.78,Rushing
Nyheim Hines,2017,North Carolina State,12,97.31,0.92,452.2,4,22.26,21.52,23,Rushing
Wesley Fields,2017,Georgia Southern,13,73.5,0.5,332.3,2.3,21.93,22.12,21.74,Rushing
Jordan Wilkins,2017,Ole Miss,12,104.33,0.83,462.5,3.9,21.92,22.56,21.28,Rushing
Nick Chubb,2017,Georgia,11,91.67,1,435.3,4.4,21.89,21.06,22.73,Rushing
Armani Rogers,2017,UNLV,12,78,0.8,427.1,3.2,21.63,18.26,25,Rushing
Tyler King,2017,Marshall,14,83.36,0.64,380.2,3,21.63,21.93,21.33,Rushing
Jordan Huff,2017,Northern Illinois,13,87,0.67,379.8,3.3,21.6,22.91,20.3,Rushing
Darrel Williams,2017,LSU,15,88.54,0.69,411.1,3.2,21.55,21.54,21.56,Rushing
Dalyn Dawkins,2017,Colorado State,13,131.46,0.69,493.2,4.2,21.54,26.65,16.43,Rushing
Brandon Wimbush,2017,Notre Dame,12,67,1.17,448.4,4.2,21.4,14.94,27.86,Rushing
Josh Adams,2017,Notre Dame,12,117.77,0.69,448.4,4.2,21.35,26.26,16.43,Rushing
Jalen Rhodes,2017,UTSA,12,72.27,0.55,387.4,2.3,21.28,18.66,23.91,Rushing
